gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
SIN3A	C4	0.36617557093241	1	up_in_rest	8	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,UCEC	3901	71	0.0182	2	69	177	3724	-0.142083338528079	c100
ACVR2A	C4	0.367655425358675	1	up_in_rest	6	BRCA,COADREAD,LIHC,LUAD,STAD,UCEC	2994	33	0.011	2	31	287	2707	-0.964015992360962	c145
CHEK2	C4	0.375070941444335	1	up_in_rest	5	BLCA,BRCA,LUAD,LUSC,UCEC	2684	36	0.0134	1	35	158	2526	-0.657684172288568	c160
ALB	C4	0.379025668282486	1	up_in_subtype	7	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,OV	3251	53	0.0163	13	40	336	2915	0.776247388649854	c130
MYCN	C4	0.3847170169038	1	up_in_rest	2	BLCA,UCEC	824	16	0.0194	0	16	49	775	-1.2698055436908	c234
FGFR2	C4	0.386329798587213	1	up_in_subtype	7	BLCA,BRCA,COADREAD,LUAD,LUSC,STAD,UCEC	3485	96	0.0275	6	90	178	3307	0.885963136057482	c119
NFE2L2	C4	0.392159556385004	1	up_in_rest	9	BLCA,CESC,ESCA,HNSC,KIRP,LIHC,LUAD,LUSC,UCEC	3224	204	0.0633	9	195	301	2923	-0.424384506646774	c135
MSH3	C4	0.393093374598604	1	up_in_subtype	5	BLCA,HNSC,LUAD,LUSC,UCEC	2175	30	0.0138	2	28	77	2098	1.04792633308551	c180
CUL3	C4	0.393120846956315	1	up_in_subtype	8	BLCA,COADREAD,HNSC,KIRP,LUAD,LUSC,PRAD,UCEC	3301	78	0.0236	6	72	194	3107	0.738685909853018	c132
KMT2C	C4	0.400080195980406	1	up_in_subtype	19	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PRAD,SARC,STAD,THCA,UCEC	7239	538	0.0743	45	493	825	6414	0.324724772738099	c002
RAC1	C4	0.401661059291421	1	up_in_subtype	2	BLCA,HNSC	877	16	0.0182	1	15	37	840	1.84782177190861	c232
GTF2I	C4	0.410062547228509	1	up_in_subtype	5	BLCA,BRCA,CESC,HNSC,LUAD	2559	35	0.0137	2	33	145	2414	0.633800354619973	c168
DNMT3A	C4	0.41157315733631	1	up_in_subtype	9	BLCA,BRCA,HNSC,KIRP,LGG,LIHC,LUAD,LUSC,UCEC	4290	82	0.0191	15	67	518	3772	0.798636246062735	c084
CREB3L3	C4	0.422666636724618	1	up_in_subtype	5	BLCA,GBM,HNSC,LIHC,LUSC	1771	31	0.0175	7	24	295	1476	0.531010141314203	c196
BAP1	C4	0.427013696174122	1	up_in_rest	11	BLCA,BRCA,CESC,CHOL,KIRC,KIRP,LIHC,LUAD,MESO,STAD,UCEC	3925	121	0.0308	11	110	418	3507	-0.290462715695614	c095
COL5A1	C4	0.442950026775196	1	up_in_rest	16	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LIHC,LUAD,LUSC,OV,PAAD,PRAD,STAD,UCEC	5843	181	0.031	9	172	588	5255	-0.733094751316158	c022
PTPDC1	C4	0.442965964820126	1	up_in_rest	4	BLCA,BRCA,LUAD,STAD	2143	18	0.0084	0	18	146	1997	-1.22054809802418	c181
GABRA6	C4	0.447495463487979	1	up_in_subtype	8	BLCA,ESCA,GBM,LIHC,LUAD,LUSC,STAD,UCEC	2645	78	0.0295	13	65	340	2305	0.675391891574443	c162
ATF7IP	C4	0.454095301751749	1	up_in_rest	10	BLCA,BRCA,CESC,HNSC,LIHC,LUAD,LUSC,PRAD,STAD,UCEC	4529	95	0.021	6	89	370	4159	-0.205268656035301	c071
HGF	C4	0.458474566116813	1	up_in_rest	8	BLCA,COADREAD,HNSC,LIHC,LUAD,LUSC,OV,STAD	3054	118	0.0386	6	112	273	2781	-0.493524935926275	c140
NUP133	C4	0.459718992730901	1	up_in_rest	9	BLCA,BRCA,COADREAD,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	4318	71	0.0164	6	65	331	3987	-0.555336949272026	c083
CDK12	C4	0.463597943260168	1	up_in_subtype	12	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5168	119	0.023	10	109	289	4879	0.554341429757679	c045
ERBB3	C4	0.46611961525761	1	up_in_rest	13	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC,UCS	4888	175	0.0358	12	163	477	4411	-0.403544295084796	c055
BRD7	C4	0.469508815952531	1	up_in_subtype	3	BLCA,BRCA,LIHC	1730	25	0.0145	7	18	269	1461	0.752722905451509	c197
HLA-A	C4	0.477357355701453	1	up_in_rest	4	CESC,HNSC,LUSC,STAD	1547	37	0.0239	0	37	24	1523	-0.97136028439253	c210
STK11	C4	0.482512836426597	1	up_in_rest	3	CESC,HNSC,LUAD	1173	63	0.0537	1	62	27	1146	-0.545439008725907	c226
BRCA1	C4	0.483485531422394	1	up_in_rest	10	BLCA,BRCA,CESC,HNSC,KIRC,LUAD,LUSC,OV,STAD,UCEC	4308	112	0.026	4	108	234	4074	-0.490834899930581	c080
PPP2R1A	C4	0.489078701658518	1	up_in_rest	5	CESC,LUAD,LUSC,UCEC,UCS	1595	96	0.0602	1	95	47	1548	-1.01143214787204	c208
CACNA1A	C4	0.498841333538354	1	up_in_rest	13	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5424	180	0.0332	11	169	482	4942	-0.498173157861153	c036
RAF1	C4	0.507380664062897	1	up_in_rest	3	BRCA,COADREAD,LUAD	1872	15	0.008	0	15	113	1759	-0.926430765955464	c189
PIK3R2	C4	0.52430250074106	1	up_in_rest	3	LUSC,STAD,UCEC	1225	25	0.0204	0	25	30	1195	-1.00246278372384	c224
AJUBA	C4	0.52509613548182	1	up_in_subtype	4	BLCA,CESC,HNSC,LUSC	1593	32	0.0201	2	30	50	1543	1.0986281119117	c207
