gene	n_tumor_types	tumors	n_samples	n_mutated	mut_freq
TNFAIP3	4	BLCA,LUAD,LUSC,UCEC	1686	27	0.016
ABL1	6	BLCA,COADREAD,LUAD,LUSC,OV,UCEC	2315	37	0.016
POLRMT	5	BRCA,CESC,COADREAD,LUAD,UCEC	2577	41	0.0159
EEF1A1	8	BLCA,BRCA,GBM,HNSC,LIHC,LUAD,STAD,UCEC	3515	55	0.0156
AXIN1	11	BLCA,BRCA,COADREAD,GBM,HNSC,KIRP,LIHC,LUSC,OV,STAD,UCEC	4442	69	0.0155
WHSC1	7	BLCA,BRCA,HNSC,LIHC,LUAD,STAD,UCEC	3412	53	0.0155
TBX3	6	BLCA,BRCA,COADREAD,LUAD,LUSC,OV	2877	44	0.0153
TET2	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,SARC,STAD,UCEC	4443	67	0.0151
THRAP3	8	BLCA,BRCA,COADREAD,LUAD,LUSC,OV,STAD,UCEC	3655	54	0.0148
ZNF133	4	BLCA,LUAD,LUSC,OV	1420	21	0.0148
IRF2	4	BLCA,HNSC,LIHC,STAD	1563	23	0.0147
BRD7	3	BLCA,BRCA,LIHC	1730	25	0.0145
PAX5	4	COADREAD,HNSC,LUAD,LUSC	1810	26	0.0144
JAK2	6	BLCA,BRCA,CESC,HNSC,LUAD,LUSC	3006	43	0.0143
EPAS1	7	BLCA,BRCA,CESC,HNSC,LUAD,PCPG,UCEC	3173	45	0.0142
ZFP36L2	5	BLCA,BRCA,CESC,LUSC,UCEC	2538	36	0.0142
ESR1	7	BLCA,BRCA,COADREAD,LUAD,LUSC,STAD,UCEC	3485	49	0.0141
CYSLTR2	3	HNSC,LUAD,LUSC	1351	19	0.0141
MSH3	5	BLCA,HNSC,LUAD,LUSC,UCEC	2175	30	0.0138
LZTR1	9	BLCA,BRCA,COADREAD,GBM,HNSC,LUAD,LUSC,OV,UCEC	3905	54	0.0138
DAZAP1	4	BLCA,CESC,LIHC,LUSC	1448	20	0.0138
GTF2I	5	BLCA,BRCA,CESC,HNSC,LUAD	2559	35	0.0137
PTPN11	4	COADREAD,GBM,LGG,LUAD	1484	20	0.0135
XPO1	6	BLCA,BRCA,CESC,HNSC,LIHC,LUAD	2903	39	0.0134
CHEK2	5	BLCA,BRCA,LUAD,LUSC,UCEC	2684	36	0.0134
SMC3	6	BLCA,BRCA,KIRC,LUAD,STAD,UCEC	2933	39	0.0133
HIST1H1E	4	BLCA,LIHC,STAD,UCEC	1510	20	0.0132
MSH6	7	BLCA,BRCA,GBM,LUAD,LUSC,STAD,UCEC	3129	41	0.0131
EZH2	4	BLCA,LUAD,LUSC,UCEC	1686	22	0.013
PMS2	6	BLCA,BRCA,HNSC,LUAD,LUSC,UCEC	3173	41	0.0129
TCF12	4	BLCA,COADREAD,LUAD,LUSC	1709	21	0.0123
MSH2	3	BLCA,BRCA,LUAD	1801	22	0.0122
CSDE1	7	BLCA,BRCA,CESC,HNSC,LUAD,LUSC,UCEC	3442	42	0.0122
RFC1	5	BLCA,BRCA,LIHC,LUAD,UCEC	2581	31	0.012
B2M	3	COADREAD,HNSC,LUAD	1363	16	0.0117
ZC3H12A	3	BLCA,BRCA,STAD	1728	20	0.0116
TBL1XR1	6	BLCA,BRCA,CESC,LUAD,LUSC,UCEC	2953	34	0.0115
MAP2K1	5	COADREAD,LUAD,LUSC,STAD,UCEC	2099	24	0.0114
ACVR2A	6	BRCA,COADREAD,LIHC,LUAD,STAD,UCEC	2994	33	0.011
EEF2	5	BLCA,BRCA,HNSC,STAD,UCEC	2653	29	0.0109
IL6ST	3	BLCA,BRCA,COADREAD	1845	20	0.0108
TRAF3	6	BRCA,CESC,HNSC,LUAD,LUSC,STAD	2960	31	0.0105
FGFR1	6	BLCA,BRCA,LUAD,LUSC,OV,UCEC	2854	27	0.0095
PTPDC1	4	BLCA,BRCA,LUAD,STAD	2143	18	0.0084
RAF1	3	BRCA,COADREAD,LUAD	1872	15	0.008
