sampleId	mutationCount
TCGA-BG-A222-01	4261
TCGA-BG-A0MK-01	80
TCGA-AX-A3FW-01	42
TCGA-AJ-A2QK-01	70
TCGA-AP-A0LH-01	30
TCGA-EY-A2OO-01	63
TCGA-B5-A1MW-01	537
TCGA-B5-A3FD-01	41
TCGA-BK-A0CA-01	48
TCGA-A5-A0VP-01	1472
TCGA-PG-A914-01	135
TCGA-B5-A5OD-01	50
TCGA-D1-A16N-01	129
TCGA-EY-A1GO-01	291
TCGA-AP-A0LT-01	635
TCGA-FI-A2F4-01	1906
TCGA-AJ-A3NF-01	55
TCGA-DF-A2KV-01	1323
TCGA-BS-A0TG-01	39
TCGA-AJ-A3BK-01	58
TCGA-AX-A2H4-01	165
TCGA-BG-A0VW-01	435
TCGA-D1-A1NW-01	55
TCGA-AJ-A5DW-01	3184
TCGA-D1-A17H-01	665
TCGA-EY-A54A-01	101
TCGA-EY-A1GV-01	35
TCGA-D1-A0ZP-01	30
TCGA-EO-A2CH-01	40
TCGA-AP-A1E4-01	20
TCGA-AP-A1DP-01	448
TCGA-BG-A0M7-01	63
TCGA-B5-A1MU-01	32
TCGA-EY-A1GT-01	78
TCGA-B5-A11I-01	49
TCGA-AX-A3FV-01	81
TCGA-B5-A11U-01	368
TCGA-A5-A2K4-01	30
TCGA-B5-A0K6-01	352
TCGA-AX-A3FX-01	58
TCGA-AJ-A5DV-01	80
TCGA-B5-A11Z-01	52
TCGA-BG-A187-01	80
TCGA-AW-A1PO-01	66
TCGA-B5-A1MY-01	47
TCGA-A5-A0G3-01	38
TCGA-D1-A17U-01	422
TCGA-EO-A22X-01	9421
TCGA-BG-A0M0-01	138
TCGA-D1-A17K-01	58
TCGA-BS-A0V4-01	325
TCGA-D1-A15Z-01	65
TCGA-DF-A2KU-01	10043
TCGA-A5-A0GI-01	340
TCGA-FI-A2D6-01	630
TCGA-DI-A1BY-01	56
TCGA-BS-A0TD-01	35
TCGA-D1-A2G5-01	213
TCGA-A5-A0R6-01	49
TCGA-BG-A3EW-01	447
TCGA-A5-A0R9-01	43
TCGA-B5-A1MV-01	60
TCGA-EY-A210-01	32
TCGA-BG-A0MT-01	33
TCGA-A5-AB3J-01	43
TCGA-AP-A05N-01	257
TCGA-B5-A0JS-01	28
TCGA-AX-A3GI-01	38
TCGA-EY-A1GI-01	4487
TCGA-D1-A1O8-01	59
TCGA-EY-A2ON-01	73
TCGA-AX-A2HC-01	12979
TCGA-BG-A18B-01	371
TCGA-AJ-A3NH-01	0
TCGA-D1-A2G0-01	815
TCGA-BS-A0TE-01	299
TCGA-BK-A139-01	125
TCGA-AP-A1E0-01	4826
TCGA-AP-A1DR-01	738
TCGA-EY-A1GF-01	340
TCGA-AX-A3G4-01	35
TCGA-AX-A3GB-01	79
TCGA-B5-A11Y-01	951
TCGA-D1-A17C-01	51
TCGA-BS-A0V8-01	76
TCGA-KP-A3W0-01	39
TCGA-D1-A17D-01	479
TCGA-EO-A22T-01	993
TCGA-EC-A1QX-01	645
TCGA-B5-A0JX-01	65
TCGA-AX-A0IU-01	55
TCGA-AP-A5FX-01	38
TCGA-BG-A0MI-01	52
TCGA-AP-A051-01	8311
TCGA-B5-A0K3-01	53
TCGA-B5-A0K8-01	41
TCGA-FI-A2EX-01	63
TCGA-BG-A0RY-01	45
TCGA-H5-A2HR-01	46
TCGA-AJ-A23O-01	860
TCGA-AJ-A3I9-01	26
TCGA-K6-A3WQ-01	32
TCGA-AX-A1C4-01	856
TCGA-A5-A0GJ-01	61
TCGA-AX-A062-01	25
TCGA-D1-A1O5-01	64
TCGA-BS-A0UL-01	388
TCGA-B5-A11L-01	111
TCGA-AX-A1CC-01	19
TCGA-EY-A1GP-01	30
TCGA-AP-A0LV-01	20
TCGA-AX-A1C7-01	44
TCGA-A5-A0G9-01	439
TCGA-A5-A0GA-01	301
TCGA-EO-A22Y-01	49
TCGA-DI-A2QU-01	63
TCGA-AP-A05J-01	44
TCGA-BK-A0CC-01	52
TCGA-AX-A063-01	1001
TCGA-E6-A2P9-01	862
TCGA-EY-A1GX-01	71
TCGA-AX-A2HK-01	63
TCGA-QS-A744-01	63
TCGA-AJ-A23N-01	46
TCGA-A5-A0R8-01	77
TCGA-EY-A547-01	149
TCGA-AX-A1CA-01	108
TCGA-D1-A16Y-01	1067
TCGA-A5-A1OJ-01	63
TCGA-PG-A7D5-01	30
TCGA-AX-A1CN-01	35
TCGA-EO-A3AY-01	3382
TCGA-AJ-A3IA-01	231
TCGA-BS-A0UF-01	8372
TCGA-AJ-A3BD-01	77
TCGA-AP-A1E1-01	551
TCGA-D1-A0ZN-01	42
TCGA-D1-A1O0-01	48
TCGA-4E-A92E-01	147
TCGA-AP-A0L8-01	60
TCGA-B5-A0JN-01	139
TCGA-D1-A0ZQ-01	75
TCGA-AJ-A3EM-01	50
TCGA-BS-A0V7-01	59
TCGA-AP-A059-01	10943
TCGA-EO-A22R-01	12770
TCGA-QF-A5YS-01	1560
TCGA-BG-A0MG-01	101
TCGA-D1-A16G-01	41
TCGA-AP-A1DQ-01	29
TCGA-B5-A5OE-01	69
TCGA-BG-A0M9-01	57
TCGA-D1-A17M-01	436
TCGA-DI-A2QY-01	109
TCGA-EY-A2OQ-01	47
TCGA-D1-A17A-01	242
TCGA-PG-A917-01	715
TCGA-B5-A11H-01	1017
TCGA-BS-A0UJ-01	1583
TCGA-D1-A168-01	49
TCGA-D1-A161-01	79
TCGA-B5-A1MR-01	7302
TCGA-BG-A0MO-01	39
TCGA-EO-A3KX-01	3201
TCGA-D1-A0ZU-01	32
TCGA-BG-A0MU-01	53
TCGA-A5-A1OF-01	10492
TCGA-AP-A0LP-01	294
TCGA-A5-A2K2-01	124
TCGA-BK-A6W3-01	3922
